delta;theta;lowAlpha;highAlpha;lowBeta;highBeta;lowGamma;highGamma
0.02374848909676075;0.09400033205747604;0.0791504979133606;0.008091249503195286;0.012421563267707825;0.026328835636377335;0.013801696710288525;0.00372460950165987;1
0.3010234832763672;0.17575465142726898;0.45384788513183594;0.058419883251190186;0.0813106894493103;0.06303297728300095;0.19534432888031006;0.033030327409505844;1
0.019922921434044838;0.03010714426636696;0.012515109963715076;0.014584039337933064;0.0030296912882477045;0.008202098309993744;0.02672281675040722;0.006152489688247442;1
0.29648083448410034;0.40560010075569153;0.0793231874704361;0.1581028550863266;0.06349179148674011;0.17305025458335876;0.07283030450344086;0.02400345355272293;1
0.47001391649246216;0.28466594219207764;0.5573410987854004;0.27627086639404297;0.14079083502292633;0.4012368321418762;0.5875005722045898;0.04106372594833374;1
0.3225443363189697;0.19639833271503448;0.09206963330507278;0.22125722467899323;0.024358991533517838;0.2811596989631653;0.12664134800434113;0.056137047708034515;1
0.5478774905204773;0.27950364351272583;0.03502015396952629;0.05622771009802818;0.170908123254776;0.22130142152309418;0.10196123272180557;0.04486647620797157;1
0.005908248480409384;0.036024123430252075;0.025548290461301804;0.052920423448085785;0.007597323041409254;0.0786159560084343;0.05252911150455475;0.010531975887715816;1
0.4880795180797577;0.05766322836279869;0.0032843612134456635;0.024429786950349808;0.03122241422533989;0.07155054062604904;0.06967340409755707;0.028970839455723763;1
0.40354612469673157;0.18167255818843842;0.14807972311973572;0.10648403316736221;0.02079726569354534;0.046383414417505264;0.13066084682941437;0.010628718882799149;1
0.16538861393928528;0.04956650361418724;0.03452163189649582;0.11735736578702927;0.020631324499845505;0.08436443656682968;0.15159103274345398;0.020976509898900986;1
0.03259076550602913;0.05425471439957619;0.00453880475834012;0.004498521331697702;0.0031289132311940193;0.04728975147008896;0.015359179116785526;0.006576670799404383;1
0.6061882376670837;0.06799247860908508;0.17918992042541504;0.06261393427848816;0.051431190222501755;0.11979169398546219;0.03144318610429764;0.012753346003592014;1
0.007249180693179369;0.0032872105948626995;0.09484244883060455;0.04760364443063736;0.006704325322061777;0.025367416441440582;0.055859729647636414;0.005058548413217068;1
0.07898370176553726;0.040218789130449295;0.09543219953775406;0.08797235786914825;0.028887277469038963;0.11110387742519379;0.07093736529350281;0.02541739121079445;1
0.010908071883022785;0.009700511582195759;0.08727668225765228;0.050998467952013016;0.006947248242795467;0.15610525012016296;0.051690466701984406;0.022918814793229103;1
0.10368215292692184;0.05100269243121147;0.03841203823685646;0.052383799105882645;0.02009928971529007;0.07076437771320343;0.03918268159031868;0.02700434997677803;1
0.13160429894924164;0.09530780464410782;0.07240583002567291;0.026401221752166748;0.028427092358469963;0.03117598406970501;0.046365074813365936;0.03589169308543205;1
0.017062585800886154;0.027592197060585022;0.013616413809359074;0.022656258195638657;0.011542251333594322;0.02610350213944912;0.010279388166964054;0.002431600820273161;1
0.04777701199054718;0.052190717309713364;0.06926482915878296;0.03622794151306152;0.017634138464927673;0.06551162898540497;0.057602912187576294;0.01192172709852457;1
0.08913099765777588;0.030616430565714836;0.009488154202699661;0.019417475908994675;0.005982399918138981;0.107939213514328;0.06265874207019806;0.007958981208503246;1
0.10726520419120789;0.058726247400045395;0.02689722366631031;0.015151111409068108;0.009275542572140694;0.027265215292572975;0.04371735453605652;0.007408289238810539;1
0.042001139372587204;0.06815730035305023;0.13457734882831573;0.09582383185625076;0.01326495036482811;0.10872036218643188;0.09660588204860687;0.03524239733815193;1
0.09321194887161255;0.09141593426465988;0.17504863440990448;0.10762199014425278;0.04145254194736481;0.21855737268924713;0.11342670023441315;0.01631423644721508;1
0.1282902956008911;0.08597583323717117;0.45695629715919495;0.10129284858703613;0.03147047013044357;0.11889035999774933;0.10161978006362915;0.016515163704752922;1
0.02799263224005699;0.02692456915974617;0.015577907674014568;0.008525116369128227;0.020384980365633965;0.03950827568769455;0.023464081808924675;0.006213884335011244;1
0.06531042605638504;0.08560914546251297;0.05320143699645996;0.02857055887579918;0.015540212392807007;0.13570015132427216;0.05564408004283905;0.03309358283877373;1
0.003183776279911399;0.020988143980503082;0.011622337624430656;0.021381298080086708;0.008392809890210629;0.014711699448525906;0.02146930620074272;0.006310627330094576;1
0.004815994296222925;0.010225540027022362;0.0036329987924546003;0.02165912464261055;0.017216721549630165;0.024110563099384308;0.01071668229997158;0.0032799632754176855;1
0.03126939386129379;0.05914941802620888;0.00891795288771391;0.018568769097328186;0.004955966025590897;0.007115495391190052;0.00942277256399393;0.003162755398079753;1
0.047402117401361465;0.034739796072244644;0.028425363823771477;0.042568497359752655;0.006800125818699598;0.005883678328245878;0.005049839615821838;0.003959025721997023;1
0.3456582725048065;0.2919848561286926;0.13688096404075623;0.10424238443374634;0.04666682705283165;0.1034325659275055;0.03378540277481079;0.03729632869362831;1
0.047632306814193726;0.056468721479177475;0.0019680100958794355;0.3431854248046875;0.05031751096248627;0.14074259996414185;0.053212009370326996;0.01583610288798809;1
0.006883935071527958;0.0117274709045887;0.008383592590689659;0.007893344387412071;0.007200435269623995;0.023850178346037865;0.010758614167571068;0.00359623902477324;1
0.02788812294602394;0.0010148683795705438;0.01122808363288641;0.007368136662989855;0.0011205238988623023;0.004050975199788809;0.00401950441300869;0.001642772345803678;1
0.08843319863080978;0.0658155083656311;0.02768898941576481;0.04779393598437309;0.02276630885899067;0.008392378687858582;0.008374466560781002;0.004037164151668549;1
0.03084680251777172;0.028151486068964005;0.00950770452618599;0.011592636816203594;0.009044595062732697;0.012423324398696423;0.005930416285991669;0.00718689663335681;1
0.024434231221675873;0.012122862040996552;0.02058916538953781;0.007371942512691021;0.0045077563263475895;0.013479882851243019;0.003079024376347661;0.0023162532597780228;1
0.020661450922489166;0.00902177207171917;0.018653737381100655;0.020152006298303604;0.0020665540359914303;0.01032022200524807;0.004600565414875746;0.0039478628896176815;1
0.044532135128974915;0.047198787331581116;0.007705867290496826;0.055428482592105865;0.005361407529562712;0.022342955693602562;0.006499496754258871;0.0019702105782926083;1
0.2908928096294403;0.054471392184495926;0.0824250802397728;0.028669510036706924;0.02079726569354534;0.07035376876592636;0.03646906465291977;0.013129156082868576;1
0.07435126602649689;0.06743782013654709;0.12598197162151337;0.03442396596074104;0.022058069705963135;0.04401492327451706;0.03333013877272606;0.02337276190519333;1
0.01306819450110197;0.007663367316126823;0.04245883971452713;0.027653347700834274;0.011759513057768345;0.022367993369698524;0.01028537843376398;0.003259498393163085;1
0.008274978026747704;0.004933593794703484;0.032416775822639465;0.023611528798937798;0.010348166339099407;0.011642172001302242;0.004336991347372532;0.005495752673596144;1
0.01794903725385666;0.014937825500965118;0.009126483462750912;0.017773346975445747;0.007234649732708931;0.010325229726731777;0.00597833888605237;0.002872526179999113;1
0.013491054996848106;0.009072701446712017;0.012335903942584991;0.008163560181856155;0.006878819316625595;0.012713752686977386;0.0032048209104686975;0.00442785769701004;1
0.014027802273631096;0.02255026437342167;0.004082643426954746;0.01920815370976925;0.005429836455732584;0.021466663107275963;0.0037739013787359;0.004100419115275145;1
0.0069552152417600155;0.005645668134093285;0.004766885191202164;0.0060056401416659355;0.007741023786365986;0.013840414583683014;0.0050138975493609905;0.00777851790189743;1
0.005697890184819698;0.009778293780982494;0.015125004574656487;0.02414054237306118;0.007936046458780766;0.014806839637458324;0.0024500407744199038;0.0017450967570766807;1
0.009645119309425354;0.00280014774762094;0.024564284831285477;0.014035996049642563;0.0035788335371762514;0.01377531886100769;0.0036720659118145704;0.002920897677540779;1
